"","datayear","region","districttype","district","free","sped","lep","enrll"
"285","05-06","Southwest","Independent","FULDA PUBLIC SCHOOL DISTRICT",144,99,2,471
"286","05-06","Southwest","Independent","HENDRICKS PUBLIC SCHOOL DISTRICT",88,19,1,179
"287","05-06","Southwest","Independent","HERON LAKE-OKABENA SCHOOL DISTRICT",86,27,36,311
"288","05-06","Southwest","Independent","HILLS-BEAVER CREEK SCHOOL DISTRICT",111,37,0,309
"289","05-06","Southwest","Independent","IVANHOE PUBLIC SCHOOL DISTRICT",57,22,1,188
"290","05-06","Southwest","Independent","JACKSON COUNTY CENTRAL SCHOOL DIST.",408,170,34,1169
"291","05-06","Southwest","Independent","LAKE BENTON PUBLIC SCHOOL DISTRICT",100,25,0,188
"292","05-06","Southwest","Independent","LAKEVIEW SCHOOL DISTRICT",158,65,15,599
"293","05-06","Southwest","Independent","LUVERNE PUBLIC SCHOOL DISTRICT",395,166,41,1246
"294","05-06","Southwest","Independent","LYND PUBLIC SCHOOL DISTRICT",70,12,29,105
"295","05-06","Southwest","Independent","MARSHALL PUBLIC SCHOOL DISTRICT",582,248,149,2190
"296","05-06","Southwest","Independent","MILROY PUBLIC SCHOOL DISTRICT",17,4,1,37
"297","05-06","Southwest","Independent","MINNEOTA PUBLIC SCHOOL DISTRICT",144,57,14,443
"298","05-06","Southwest","Independent","MOUNTAIN LAKE PUBLIC SCHOOLS",224,85,72,493
"299","05-06","Southwest","Independent","MURRAY COUNTY CENTRAL SCHOOL DIST.",231,78,26,727
"300","05-06","Southwest","Independent","PIPESTONE AREA SCHOOL DISTRICT",448,139,33,1185
"301","05-06","Southwest","Independent","RED ROCK CENTRAL SCHOOL DISTRICT",226,62,0,488
"302","05-06","Southwest","Independent","REDWOOD AREA SCHOOL DISTRICT",444,152,29,1328
"303","05-06","Southwest","Independent","ROUND LAKE PUBLIC SCHOOL DISTRICT",44,23,1,161
"304","05-06","Southwest","Independent","RUSSELL PUBLIC SCHOOL DISTRICT",42,10,0,141
"305","05-06","Southwest","Independent","RUTHTON PUBLIC SCHOOL DISTRICT",87,28,1,237
"306","05-06","Southwest","Independent","TRACY PUBLIC SCHOOL DISTRICT",348,68,146,754
"307","05-06","Southwest","Independent","TYLER PUBLIC SCHOOL DISTRICT",50,12,0,202
"308","05-06","Southwest","Independent","WABASSO PUBLIC SCHOOL DISTRICT",141,45,0,409
"309","05-06","Southwest","Independent","WESTBROOK-WALNUT GROVE SCHOOLS",283,50,165,569
"310","05-06","Southwest","Independent","WINDOM PUBLIC SCHOOL DISTRICT",272,181,45,937
"311","05-06","Southwest","Independent","WORTHINGTON PUBLIC SCHOOL DISTRICT",1108,331,232,2185
"312","05-06","Southwest","Service Coop","REGN 6 & 8-S.W/W.C. SRV COOPERATIVE",18,43,0,66
"313","05-06","Twin Cities","Charter","ACADEMIA CESAR CHAVEZ CHARTER SCH.",229,19,150,246
"314","05-06","Twin Cities","Charter","ACADEMY OF BIOSCIENCES",85,15,10,172
"315","05-06","Twin Cities","Charter","ACHIEVE LANGUAGE ACADEMY",289,40,198,375
"316","05-06","Twin Cities","Charter","ADAM ABDULLE ACADEMY",139,5,80,146
"317","05-06","Twin Cities","Charter","AGRICULTURAL FOOD SCIENCE ACADEMY",50,34,0,187
"318","05-06","Twin Cities","Charter","ASCENSION ACADEMY CHARTER SCHOOL",52,0,0,74
"319","05-06","Twin Cities","Charter","AUGSBURG ACADEMY FOR HEALTH CAREERS",38,6,8,44
"320","05-06","Twin Cities","Charter","AURORA CHARTER SCHOOL",198,8,202,217
"321","05-06","Twin Cities","Charter","AVALON SCHOOL",27,32,0,143
"322","05-06","Twin Cities","Charter","BEACON ACADEMY",23,10,1,172
"323","05-06","Twin Cities","Charter","BLUESKY CHARTER SCHOOL",17,18,0,102
"324","05-06","Twin Cities","Charter","CEDAR RIVERSIDE COMMUNITY SCHOOL",106,4,60,109
"325","05-06","Twin Cities","Charter","CITY ACADEMY",92,1,0,120
"326","05-06","Twin Cities","Charter","COMMUNITY OF PEACE ACADEMY",488,71,315,590
"327","05-06","Twin Cities","Charter","CONCORDIA CREATIVE LEARNING ACADEMY",81,9,21,108
"328","05-06","Twin Cities","Charter","COON RAPIDS LEARNING CENTER",35,43,0,159
"329","05-06","Twin Cities","Charter","CYBER VILLAGE ACADEMY",22,13,0,129
"330","05-06","Twin Cities","Charter","DUGSI ACADEMY",145,2,154,154
"331","05-06","Twin Cities","Charter","EAGLE RIDGE ACADEMY CHARTER SCHOOL",0,10,0,156
"332","05-06","Twin Cities","Charter","EL COLEGIO CHARTER SCHOOL",49,7,19,78
"333","05-06","Twin Cities","Charter","EXCELL ACADEMY CHARTER",188,17,0,259
"334","05-06","Twin Cities","Charter","FACE TO FACE ACADEMY",33,12,0,58
"335","05-06","Twin Cities","Charter","FAMILY ACADEMY CHARTER SCHOOL",75,46,1,214
"336","05-06","Twin Cities","Charter","FOUR DIRECTIONS CHARTER SCHOOLS",87,18,0,95
"337","05-06","Twin Cities","Charter","FRASER ACADEMY",14,48,2,74
"338","05-06","Twin Cities","Charter","FRIENDSHIP ACDMY OF FINE ARTS CHTR.",85,8,0,92
"339","05-06","Twin Cities","Charter","GENERAL JOHN VESSEY JR LEADERSHIP",0,18,0,75
"340","05-06","Twin Cities","Charter","GREAT RIVER SCHOOL",25,23,0,155
"341","05-06","Twin Cities","Charter","HARVEST PREP SCHOOL/SEED ACADEMY",302,34,0,415
"342","05-06","Twin Cities","Charter","HEART OF THE EARTH CHARTER",179,41,0,197
"343","05-06","Twin Cities","Charter","HIGH SCHOOL FOR RECORDING ARTS",183,59,0,229
"344","05-06","Twin Cities","Charter","HIGHER GROUND ACADEMY",395,18,111,413
"345","05-06","Twin Cities","Charter","HMONG ACADEMY",233,11,233,235
"346","05-06","Twin Cities","Charter","HOPE COMMUNITY ACADEMY",422,21,376,481
"347","05-06","Twin Cities","Charter","JENNINGS EXPERIENTIAL HIGH SCHOOL",21,10,0,36
"348","05-06","Twin Cities","Charter","LAKES INTERNATIONAL LANGUAGE ADMY",30,6,0,284
"349","05-06","Twin Cities","Charter","LIBERTY HIGH SCHOOL",36,20,0,158
"350","05-06","Twin Cities","Charter","LIGHTHOUSE ACADEMY OF NATIONS",86,0,83,86
"351","05-06","Twin Cities","Charter","LOVEWORKS ACADEMY FOR ARTS",82,7,0,148
"352","05-06","Twin Cities","Charter","MAIN STREET SCHOOL PERFORMING ARTS",27,25,0,163
"353","05-06","Twin Cities","Charter","MARY MCEVOY EARLY LITERACY ACADEMY",34,3,0,45
"354","05-06","Twin Cities","Charter","MATH & SCIENCE ACADEMY",0,22,0,303
"355","05-06","Twin Cities","Charter","METRO DEAF SCHOOL",23,67,0,67
"356","05-06","Twin Cities","Charter","MINNEAPOLIS ACADEMY CHARTER SCHOOL",86,16,28,101
"357","05-06","Twin Cities","Charter","MINNESOTA BUSINESS ACADEMY CHARTER",104,23,0,230
"358","05-06","Twin Cities","Charter","MINNESOTA INTERNSHIP CENTER",322,32,218,439
"359","05-06","Twin Cities","Charter","MINNESOTA NORTH STAR ACADEMY",9,22,0,22
"360","05-06","Twin Cities","Charter","MINNESOTA ONLINE HIGH SCHOOL",14,5,0,50
"361","05-06","Twin Cities","Charter","MINNESOTA TRANSITIONS CHARTER SCH",743,117,0,1067
"362","05-06","Twin Cities","Charter","MN INTERNATIONAL MIDDLE CHARTER",0,18,227,239
"363","05-06","Twin Cities","Charter","NEW CITY SCHOOL",69,15,2,109
"364","05-06","Twin Cities","Charter","NEW HEIGHTS SCHOOL, INC.",45,31,0,128
"365","05-06","Twin Cities","Charter","NEW MILLENNIUM ACADEMY CHARTER SCH",0,5,185,186
"366","05-06","Twin Cities","Charter","NEW SPIRIT SCHOOLS",282,35,207,337
"367","05-06","Twin Cities","Charter","NEW VISIONS CHARTER SCHOOL",172,55,51,207
"368","05-06","Twin Cities","Charter","NEW VOYAGE ACADEMY CHARTER SCHOOL",0,7,4,68
"369","05-06","Twin Cities","Charter","NORTH LAKES ACADEMY",41,30,0,193
"370","05-06","Twin Cities","Charter","NOVA CLASSICAL ACADEMY",29,16,0,266
"371","05-06","Twin Cities","Charter","ODYSSEY CHARTER SCHOOL",104,25,3,184
"372","05-06","Twin Cities","Charter","PACT CHARTER SCHOOL",111,101,0,555
"373","05-06","Twin Cities","Charter","PAIDEIA ACADEMY CHARTER SCHOOL",34,18,0,203
"374","05-06","Twin Cities","Charter","PARTNERSHIP ACADEMY, INC.",190,16,133,192
"375","05-06","Twin Cities","Charter","PRAIRIE SEEDS ACADEMY",140,4,141,148
"376","05-06","Twin Cities","Charter","RIVER HEIGHTS CHARTER SCHOOL",21,14,0,75
"377","05-06","Twin Cities","Charter","SAGE ACADEMY CHARTER SCHOOL",22,18,0,87
"378","05-06","Twin Cities","Charter","SKILLS FOR TOMORROW CHARTER SCHOOL",46,19,0,70
"379","05-06","Twin Cities","Charter","SOBRIETY HIGH",18,40,0,153
"380","05-06","Twin Cities","Charter","SOJOURNER TRUTH ACADEMY",209,25,45,229
"381","05-06","Twin Cities","Charter","SOUL ACADEMY CHARTER SCHOOL",70,4,8,71
"382","05-06","Twin Cities","Charter","ST PAUL CONSERVATORY PERFORMING ART",4,4,0,146
"383","05-06","Twin Cities","Charter","ST. CROIX PREPARATORY ACADEMY",0,20,0,251
"384","05-06","Twin Cities","Charter","TAREK IBN ZIYAD ACADEMY",211,11,127,251
"385","05-06","Twin Cities","Charter","TWIN CITIES ACADEMY",22,14,4,184
"386","05-06","Twin Cities","Charter","TWIN CITIES GERMAN IMMERSION CHRTR",0,1,1,42
"387","05-06","Twin Cities","Charter","TWIN CITIES INTERNATIONAL ELEM SCH.",456,21,441,456
"388","05-06","Twin Cities","Charter","UBAH MEDICAL ACADEMY CHARTER SCHOOL",0,4,172,175
"389","05-06","Twin Cities","Charter","URBAN ACADEMY CHARTER SCHOOL",0,15,37,195
"390","05-06","Twin Cities","Charter","WATERSHED HIGH SCHOOL",14,14,1,124
"391","05-06","Twin Cities","Charter","WOODSON INSTITUTE FOR EXCELLENCE CH",218,30,0,237
"392","05-06","Twin Cities","Charter","WORLD LEARNER CHARTER SCHOOL",0,16,0,140
"393","05-06","Twin Cities","Correctional Facilities","MINNESOTA DEPARTMENT OF CORRECTIONS",0,107,0,107
"394","05-06","Twin Cities","Independent","ANOKA-HENNEPIN PUBLIC SCHOOL DIST.",9376,5012,2787,40969
"395","05-06","Twin Cities","Independent","BELLE PLAINE PUBLIC SCHOOL DISTRICT",155,154,0,1473
"396","05-06","Twin Cities","Independent","BLOOMINGTON PUBLIC SCHOOL DISTRICT",2999,1229,958,10514
"397","05-06","Twin Cities","Independent","BROOKLYN CENTER SCHOOL DISTRICT",1072,193,461,1668
"398","05-06","Twin Cities","Independent","BURNSVILLE PUBLIC SCHOOL DISTRICT",2538,1202,1172,10499
"399","05-06","Twin Cities","Independent","CENTENNIAL  PUBLIC SCHOOL DISTRICT",751,834,53,6923
"400","05-06","Twin Cities","Independent","CHASKA PUBLIC SCHOOL DISTRICT",1163,811,570,8411
"401","05-06","Twin Cities","Independent","COLUMBIA HEIGHTS PUBLIC SCHOOL DIST",1722,361,680,2927
"402","05-06","Twin Cities","Independent","EDEN PRAIRIE PUBLIC SCHOOL DISTRICT",1021,927,461,9866
"403","05-06","Twin Cities","Independent","EDINA PUBLIC SCHOOL DISTRICT",504,683,225,7462
"404","05-06","Twin Cities","Independent","FARMINGTON PUBLIC SCHOOL DISTRICT",716,615,204,5773
"405","05-06","Twin Cities","Independent","FOREST LAKE PUBLIC SCHOOL DISTRICT",1318,840,99,7465
"406","05-06","Twin Cities","Independent","FRIDLEY PUBLIC SCHOOL DISTRICT",1094,311,265,2505
"407","05-06","Twin Cities","Independent","HASTINGS PUBLIC SCHOOL DISTRICT",850,583,51,5066
"408","05-06","Twin Cities","Independent","HOPKINS PUBLIC SCHOOL DISTRICT",1542,869,426,7942
"409","05-06","Twin Cities","Independent","INVER GROVE HEIGHTS SCHOOLS",797,503,173,3711
"410","05-06","Twin Cities","Independent","JORDAN PUBLIC SCHOOL DISTRICT",280,170,50,1514
"411","05-06","Twin Cities","Independent","LAKEVILLE PUBLIC SCHOOL DISTRICT",744,1181,146,10897
"412","05-06","Twin Cities","Independent","MAHTOMEDI PUBLIC SCHOOL DISTRICT",198,291,53,3076
"413","05-06","Twin Cities","Independent","MINNETONKA PUBLIC SCHOOL DISTRICT",422,836,100,7618
"414","05-06","Twin Cities","Independent","MOUNDS VIEW PUBLIC SCHOOL DISTRICT",1854,1090,266,10249
"415","05-06","Twin Cities","Independent","NORTH ST PAUL-MAPLEWOOD SCHOOL DIST",3154,1340,603,10971
"416","05-06","Twin Cities","Independent","NORWOOD PUBLIC SCHOOL DISTRICT",182,107,31,978
"417","05-06","Twin Cities","Independent","ORONO PUBLIC SCHOOL DISTRICT",124,259,27,2591
"418","05-06","Twin Cities","Independent","OSSEO PUBLIC SCHOOL DISTRICT",6188,2395,2165,21478
"419","05-06","Twin Cities","Independent","PRIOR LAKE-SAVAGE AREA SCHOOLS",473,501,160,6224
"420","05-06","Twin Cities","Independent","RANDOLPH PUBLIC SCHOOL DISTRICT",64,46,0,478
"421","05-06","Twin Cities","Independent","RICHFIELD PUBLIC SCHOOL DISTRICT",2012,449,897,4113
"422","05-06","Twin Cities","Independent","ROBBINSDALE PUBLIC SCHOOL DISTRICT",4593,1403,1403,13221
"423","05-06","Twin Cities","Independent","ROSEMOUNT-APPLE VALLEY-EAGAN",3383,3871,1158,27856
"424","05-06","Twin Cities","Independent","ROSEVILLE PUBLIC SCHOOL DISTRICT",1744,681,555,6316
"425","05-06","Twin Cities","Independent","SHAKOPEE PUBLIC SCHOOL DISTRICT",1375,573,797,5446
"426","05-06","Twin Cities","Independent","SOUTH WASHINGTON COUNTY SCHOOL DIST",2086,1863,411,16064
"427","05-06","Twin Cities","Independent","SPRING LAKE PARK PUBLIC SCHOOLS",1227,484,261,4540
"428","05-06","Twin Cities","Independent","ST. ANTHONY-NEW BRIGHTON SCHOOLS",232,142,57,1702
"429","05-06","Twin Cities","Independent","ST. FRANCIS PUBLIC SCHOOL DISTRICT",1133,609,146,6054
"430","05-06","Twin Cities","Independent","ST. LOUIS PARK PUBLIC SCHOOL DIST.",1126,620,263,4247
"431","05-06","Twin Cities","Independent","ST. PAUL PUBLIC SCHOOL DISTRICT",28476,6309,14494,40647
"432","05-06","Twin Cities","Independent","STILLWATER PUBLIC SCHOOL DISTRICT",827,873,46,8656
"433","05-06","Twin Cities","Independent","WACONIA PUBLIC SCHOOL DISTRICT",228,290,55,2718
"434","05-06","Twin Cities","Independent","WATERTOWN-MAYER PUBLIC SCHOOL DIST.",218,142,10,1515
"435","05-06","Twin Cities","Independent","WAYZATA PUBLIC SCHOOL DISTRICT",978,751,203,9712
"436","05-06","Twin Cities","Independent","WEST ST. PAUL-MENDOTA HTS.-EAGAN",1362,691,332,4613
"437","05-06","Twin Cities","Independent","WESTONKA PUBLIC SCHOOL DISTRICT",260,275,25,2234
"438","05-06","Twin Cities","Independent","WHITE BEAR LAKE SCHOOL DISTRICT",1774,1003,233,8543
"439","05-06","Twin Cities","Intermediate","INTERMEDIATE SCHOOL DISTRICT 287",337,712,48,1824
"440","05-06","Twin Cities","Intermediate","INTERMEDIATE SCHOOL DISTRICT 917",106,346,0,570
"441","05-06","Twin Cities","Intermediate","N.E. METRO INTERMEDIATE DIST. 916",151,386,7,594
"442","05-06","Twin Cities","Secondary Facilities","EAST METRO INTEGRATION DISTRICT",292,145,79,938
"443","05-06","Twin Cities","Secondary Facilities","METROPOLITAN LEARNING ALLIANCE",0,0,0,65
"444","05-06","Twin Cities","Secondary Facilities","VALLEY CROSSING COMMUNITY SCHOOL",7,68,9,741
"445","05-06","Twin Cities","Secondary Facilities","WEST METRO EDUCATION PROGRAM",370,87,0,1006
"446","05-06","Twin Cities","Special","MINNEAPOLIS PUBLIC SCHOOL DIST.",24644,5307,8911,37930
"447","05-06","Twin Cities","Special","SOUTH ST. PAUL PUBLIC SCHOOL DIST.",1088,371,222,3197
"448","05-06","Twin Cities","Sped Coops","MN RIVER VALLEY SPECIAL ED. COOP.",65,262,5,262
"449","05-06","Twin Cities","State Operated","PERPICH CENTER FOR ARTS EDUCATION",25,0,1,309
"450","05-06","Twin Cities","Voc and Sped","CARVER-SCOTT EDUCATIONAL COOP.",83,114,0,403
"451","05-06","Upper Minnesota Valley","Charter","E.C.H.O. CHARTER SCHOOL",86,30,0,173
"452","05-06","Upper Minnesota Valley","Ed Districts","MN RIVER VALLEY EDUCATION DISTRICT",31,27,0,118
"453","05-06","Upper Minnesota Valley","Independent","BELLINGHAM PUBLIC SCHOOL DISTRICT",24,9,2,63
"454","05-06","Upper Minnesota Valley","Independent","BENSON PUBLIC SCHOOL DISTRICT",311,141,1,1041
"455","05-06","Upper Minnesota Valley","Independent","CANBY PUBLIC SCHOOL DISTRICT",261,97,0,578
"456","05-06","Upper Minnesota Valley","Independent","CLINTON-GRACEVILLE-BEARDSLEY",171,43,0,427
"457","05-06","Upper Minnesota Valley","Independent","DAWSON-BOYD PUBLIC SCHOOL DISTRICT",185,77,0,535
"458","05-06","Upper Minnesota Valley","Independent","KERKHOVEN-MURDOCK-SUNBURG",199,103,20,576
"459","05-06","Upper Minnesota Valley","Independent","LAC QUI PARLE VALLEY SCHOOL DIST.",366,130,24,991
"460","05-06","Upper Minnesota Valley","Independent","M.A.C.C.R.A.Y. SCHOOL DISTRICT",225,123,2,779
"461","05-06","Upper Minnesota Valley","Independent","MONTEVIDEO PUBLIC SCHOOL DISTRICT",548,182,59,1440
"462","05-06","Upper Minnesota Valley","Independent","ORTONVILLE PUBLIC SCHOOL DISTRICT",222,66,4,523
"463","05-06","Upper Minnesota Valley","Independent","YELLOW MEDICINE EAST",450,178,61,1064
"464","05-06","West Central","Charter","LAKES AREA CHARTER SCHOOL",31,15,0,78
"465","05-06","West Central","Ed Districts","RUNESTONE AREA ED. DISTRICT",60,50,0,156
"466","05-06","West Central","Independent","ALEXANDRIA PUBLIC SCHOOL DISTRICT",992,585,9,3959
"467","05-06","West Central","Independent","ASHBY PUBLIC SCHOOL DISTRICT",70,28,0,278
"468","05-06","West Central","Independent","BARNESVILLE PUBLIC SCHOOL DIST.",181,91,0,781
"469","05-06","West Central","Independent","BATTLE LAKE PUBLIC SCHOOL DISTRICT",209,38,3,534
"470","05-06","West Central","Independent","BRANDON PUBLIC SCHOOL DISTRICT",74,30,0,306
"471","05-06","West Central","Independent","BRECKENRIDGE PUBLIC SCHOOL DISTRICT",277,133,37,883
"472","05-06","West Central","Independent","BROWNS VALLEY PUBLIC SCHOOL DIST.",82,18,0,139
"473","05-06","West Central","Independent","CAMPBELL-TINTAH PUBLIC SCHOOL DIST.",58,19,0,113
"474","05-06","West Central","Independent","CHOKIO-ALBERTA PUBLIC SCHOOL DIST.",73,33,0,182
"475","05-06","West Central","Independent","CYRUS PUBLIC SCHOOL DISTRICT",34,25,0,77
"476","05-06","West Central","Independent","DETROIT LAKES PUBLIC SCHOOL DIST.",900,402,1,2596
"477","05-06","West Central","Independent","DILWORTH-GLYNDON-FELTON",376,151,29,1340
"478","05-06","West Central","Independent","EVANSVILLE PUBLIC SCHOOL DISTRICT",82,24,0,185
"479","05-06","West Central","Independent","FERGUS FALLS PUBLIC SCHOOL DISTRICT",647,374,6,2689
"480","05-06","West Central","Independent","FRAZEE-VERGAS PUBLIC SCHOOL DIST.",476,180,10,1085
"481","05-06","West Central","Independent","HANCOCK PUBLIC SCHOOL DISTRICT",76,26,0,227
"482","05-06","West Central","Independent","HAWLEY PUBLIC SCHOOL DISTRICT",165,107,0,899
"483","05-06","West Central","Independent","HENNING PUBLIC SCHOOL DISTRICT",151,50,0,358
"484","05-06","West Central","Independent","HERMAN-NORCROSS SCHOOL DISTRICT",64,16,2,112
"485","05-06","West Central","Independent","LAKE PARK AUDUBON SCHOOL DISTRICT",203,71,0,639
"486","05-06","West Central","Independent","MINNEWASKA SCHOOL DISTRICT",449,209,1,1245
"487","05-06","West Central","Independent","MOORHEAD PUBLIC SCHOOL DISTRICT",1500,788,338,5242
"488","05-06","West Central","Independent","MORRIS PUBLIC SCHOOL DISTRICT",232,154,7,998
"489","05-06","West Central","Independent","NEW YORK MILLS PUBLIC SCHOOL DIST.",320,108,0,725
"490","05-06","West Central","Independent","OSAKIS PUBLIC SCHOOL DISTRICT",218,70,3,710
"491","05-06","West Central","Independent","PARKERS PRAIRIE PUBLIC SCHOOL DIST.",198,71,0,561
"492","05-06","West Central","Independent","PELICAN RAPIDS PUBLIC SCHOOL DIST.",448,126,187,1087
"493","05-06","West Central","Independent","PERHAM PUBLIC SCHOOL DISTRICT",574,179,33,1574
"494","05-06","West Central","Independent","PINE POINT PUBLIC SCHOOL DISTRICT",62,12,0,64
"495","05-06","West Central","Independent","ROTHSAY PUBLIC SCHOOL DISTRICT",87,35,5,221
"496","05-06","West Central","Independent","ULEN-HITTERDAL PUBLIC SCHOOL DIST",100,41,0,287
"497","05-06","West Central","Independent","UNDERWOOD PUBLIC SCHOOL DISTRICT",210,63,2,489
"498","05-06","West Central","Independent","WEST CENTRAL AREA",288,119,0,806
"499","05-06","West Central","Independent","WHEATON AREA PUBLIC SCHOOL DISTRICT",138,60,0,446
"500","05-06","West Central","Service Coop","REGION 4-LAKES COUNTRY SERVICE COOP",18,13,0,70
"501","05-06","West Central","Sped Coops","FERGUS FALLS AREA SP. ED. COOP.",13,24,0,27
"502","05-06","West Central","Sped Coops","LAKE AGASSIZ SPECIAL ED. COOP.",0,0,0,0
"503","05-06","West Central","Sped Coops","MIDWEST SPECIAL EDUCATION COOP.",0,0,0,0
"504","06-07","Arrowhead","Charter","BIRCH GROVE COMMUNITY SCHOOL",25,4,0,48
"505","06-07","Arrowhead","Charter","DULUTH PUBLIC SCHOOLS ACADEMY",396,147,0,797
"506","06-07","Arrowhead","Charter","GREAT EXPECTATIONS",18,6,0,39
"507","06-07","Arrowhead","Charter","HARBOR CITY INTERNATIONAL CHARTER",74,45,1,213
"508","06-07","Arrowhead","Charter","LAKE SUPERIOR HIGH SCHOOL",44,20,0,84
"509","06-07","Arrowhead","Charter","NORTH SHORE COMMUNITY SCHOOL",103,22,0,260
"510","06-07","Arrowhead","Charter","NORTHERN LIGHTS COMMUNITY SCHOOL",53,28,0,109
"511","06-07","Arrowhead","Cooperatives","NORTHLAND LEARNING CENTER",86,79,0,116
"512","06-07","Arrowhead","Independent","AITKIN PUBLIC SCHOOL DISTRICT",488,154,2,1320
"513","06-07","Arrowhead","Independent","BARNUM PUBLIC SCHOOL DISTRICT",259,112,0,702
"514","06-07","Arrowhead","Independent","CARLTON PUBLIC SCHOOL DISTRICT",185,81,0,598
"515","06-07","Arrowhead","Independent","CHISHOLM PUBLIC SCHOOL DISTRICT",282,117,1,727
"516","06-07","Arrowhead","Independent","CLOQUET PUBLIC SCHOOL DISTRICT",750,282,9,2266
